FAA_Code,Destination
BHM,Birmingham
DHN,Dothan
HSV,Huntsville
MOB,Mobile
MGM,Montgomery
MRI,Anchorage
ANC,Anchorage
BET,Bethel
CDV,Cordova
SCC,Deadhorse
DLG,Dillingham
FAI,Fairbanks
GST,Gustavus
HOM,Homer
JNU,Juneau
ENA,Kenai
KTN,Ketchikan
AKN,King Salmon
AKW,Klawock
ADQ,Kodiak
OTZ,Kotzebue
OME,Nome
PSG,Petersburg
SIT,Sitka
DUT,Unalaska
BRW,Utqia_vik
WRG,Wrangell
YAK,Yakutat
FLG,Flagstaff
IWA,Mesa
PGA,Page
PHX,Phoenix
PRC,Prescott
TUS,Tucson
NYL,Yuma
XNA,Fayetteville
FSM,Fort Smith
LIT,Little Rock
TXK,Texarkana
ACV,Arcata/Eureka
BFL,Bakersfield
BUR,Burbank
FAT,Fresno
LGB,Long Beach
LAX,Los Angeles
MRY,Monterey
OAK,Oakland
ONT,Ontario
SNA,Santa Ana
PSP,Palm Springs
RDD,Redding
SMF,Sacramento
SAN,San Diego
SFO,San Francisco
SJC,San Jose
SBP,San Luis Obispo
SBA,Santa Barbara
SMX,Santa Maria
STS,Santa Rosa
SCK,Stockton
ALS,Alamosa
ASE,Aspen
COS,Colorado Springs
DEN,Denver
DRO,Durango
EGE,Eagle/Vail
GJT,Grand Junction
GUC,Gunnison
HDN,Hayden
MTJ,Montrose
BDL,Hartford
HVN,New Haven
ILG,Wilmington
DAB,Daytona Beach
FLL,Fort Lauderdale
RSW,Fort Myers
VPS,Fort Walton Beach
GNV,Gainesville
JAX,Jacksonville
EYW,Key West
MLB,Melbourne
MIA,Miami
MCO,Orlando
ECP,Panama City
PNS,Pensacola
PGD,Punta Gorda
SFB,Sanford
SRQ,Sarasota
PIE,St. Petersburg
TLH,Tallahassee
TPA,Tampa
PBI,West Palm Beach
ABY,Albany
ATL,Atlanta
AGS,Augusta
BQK,Brunswick
CSG,Columbus
MCN,Macon
SAV,Savannah
VLD,Valdosta
ITO,"Hilo, Hawaii"
HNL,"Honolulu, Oahu"
OGG,"Kahului, Maui"
KOA,"Kailua-Kona, Hawaii"
MKK,"Kaunakakai, Molokai"
LNY,"Lanai City, Lanai"
LIH,"Lihue, Kauai"
BOI,Boise
